# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 5.37537 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.862104319779e-02       2.027988308500e+04 
       2.876175750635e-02       2.020910580987e+04 
       2.890273266762e-02       2.013811970509e+04 
       2.904397483096e-02       2.006701644068e+04 
       2.918549031379e-02       1.999567722199e+04 
       2.932728560704e-02       1.992421366194e+04 
       2.946936738088e-02       1.985252835108e+04 
       2.961174249063e-02       1.978072201202e+04 
       2.975441798297e-02       1.970879079599e+04 
       2.989740110238e-02       1.963668397111e+04 
       3.004069929781e-02       1.956446058815e+04 
       3.018432022972e-02       1.949212336263e+04 
       3.032827177734e-02       1.941966753669e+04 
       3.047256204628e-02       1.934711777598e+04 
       3.061719937645e-02       1.927438922948e+04 
       3.076219235036e-02       1.920162481520e+04 
       3.090754980173e-02       1.912874006593e+04 
       3.105328082452e-02       1.905581509121e+04 
       3.119939478238e-02       1.898277242021e+04 
       3.134590131849e-02       1.890962479372e+04 
       3.149281036586e-02       1.883642280769e+04 
       3.164013215810e-02       1.876319766147e+04 
       3.178787724073e-02       1.868992420914e+04 
       3.193605648296e-02       1.861661124227e+04 
       3.208468109008e-02       1.854321575876e+04 
       3.223376261639e-02       1.846978570435e+04 
       3.238331297880e-02       1.839635449841e+04 
       3.253334447110e-02       1.832289436599e+04 
       3.268386977885e-02       1.824932548193e+04 
       3.283490199512e-02       1.817585353881e+04 
       3.298645463695e-02       1.810226842887e+04 
       3.313854166267e-02       1.802871881160e+04 
       3.329117749006e-02       1.795518084551e+04 
       3.344437701554e-02       1.788160859584e+04 
       3.359815563430e-02       1.780801805152e+04 
       3.375252926146e-02       1.773443762782e+04 
       3.390751435448e-02       1.766087164978e+04 
       3.406312793663e-02       1.758737469551e+04 
       3.421938762185e-02       1.751382060488e+04 
       3.437631164092e-02       1.744031802827e+04 
       3.453391886915e-02       1.736679613395e+04 
       3.469222885554e-02       1.729335709004e+04 
       3.485126185368e-02       1.721994471193e+04 
       3.501103885438e-02       1.714649494831e+04 
       3.517158162023e-02       1.707307889799e+04 
       3.533291272220e-02       1.699973444455e+04 
       3.549505557839e-02       1.692641431771e+04 
       3.565803449514e-02       1.685314008310e+04 
       3.582187471065e-02       1.677988446303e+04 
       3.598660244129e-02       1.670663255549e+04 
       3.615224493080e-02       1.663348920243e+04 
       3.631883050259e-02       1.656035248663e+04 
       3.648638861547e-02       1.648725730619e+04 
       3.665494992286e-02       1.641421949227e+04 
       3.682454633603e-02       1.634119509078e+04 
       3.699521109143e-02       1.626821816894e+04 
       3.716697882268e-02       1.619527647364e+04 
       3.733988563733e-02       1.612240995814e+04 
       3.751396919910e-02       1.604956408730e+04 
       3.768926881575e-02       1.597677594906e+04 
       3.786582553330e-02       1.590400170562e+04 
       3.804368223693e-02       1.583125790995e+04 
       3.822288375942e-02       1.575859485832e+04 
       3.840347699747e-02       1.568590162564e+04 
       3.858551103685e-02       1.561328672693e+04 
       3.876903728713e-02       1.554064615079e+04 
       3.895410962675e-02       1.546810429806e+04 
       3.914078455959e-02       1.539558685816e+04 
       3.932912138399e-02       1.532308846299e+04 
       3.951918237547e-02       1.525059521439e+04 
       3.971103298448e-02       1.517813966165e+04 
       3.990474205072e-02       1.510568511552e+04 
       4.010038203561e-02       1.503324570835e+04 
       4.029802927493e-02       1.496080166733e+04 
       4.049776425350e-02       1.488832640793e+04 
       4.069967190448e-02       1.481588934908e+04 
       4.090384193581e-02       1.474340913973e+04 
       4.111036918682e-02       1.467094283592e+04 
       4.131935401826e-02       1.459837793437e+04 
       4.153090273976e-02       1.452585197566e+04 
       4.174512807889e-02       1.445322700679e+04 
       4.196214969668e-02       1.438064530834e+04 
       4.218209475537e-02       1.430796938518e+04 
       4.240509854449e-02       1.423521591981e+04 
       4.263130517285e-02       1.416241599560e+04 
       4.286086833448e-02       1.408950015301e+04 
       4.309395215835e-02       1.401653111327e+04 
       4.333073215270e-02       1.394340798067e+04 
       4.357139625698e-02       1.387020509196e+04 
       4.381614601588e-02       1.379682751373e+04 
       4.406519789289e-02       1.372329349461e+04 
       4.431878474316e-02       1.364962013665e+04 
       4.457715746909e-02       1.357577754483e+04 
       4.484058688603e-02       1.350172918671e+04 
       4.510936583018e-02       1.342746374352e+04 
       4.538381154675e-02       1.335292432471e+04 
       4.566426840308e-02       1.327815938345e+04 
       4.595111098032e-02       1.320311426008e+04 
       4.624474760699e-02       1.312772788406e+04 
       4.654562441072e-02       1.305200857575e+04 
       4.685422997938e-02       1.297590852025e+04 
       4.717110074200e-02       1.289942525771e+04 
       4.749682720275e-02       1.282247140521e+04 
       4.783206119047e-02       1.274504311594e+04 
       4.817752432184e-02       1.266708411624e+04 
       4.853401792131e-02       1.258857627464e+04 
       4.890243469721e-02       1.250936490640e+04 
       4.928377254460e-02       1.242947471186e+04 
       4.967915093510e-02       1.234884153826e+04 
       5.008983046795e-02       1.226732965853e+04 
       5.051723630197e-02       1.218490161820e+04 
       5.096298637218e-02       1.210142731231e+04 
       5.142892553139e-02       1.201678912219e+04 
       5.191716705615e-02       1.193086794835e+04 
       5.243014333670e-02       1.184348071636e+04 
       5.297066804707e-02       1.175451817946e+04 
       5.354201267900e-02       1.166365064013e+04 
       5.414800102670e-02       1.157063539518e+04 
       5.479312600466e-02       1.147519555410e+04 
       5.548269398120e-02       1.137687014843e+04 
       5.622300239514e-02       1.127515089276e+04 
       5.702155629802e-02       1.116937621519e+04 
       5.788732760388e-02       1.105873471574e+04 
       5.883105521756e-02       1.094211405421e+04 
       5.986557109595e-02       1.081803132896e+04 
       6.100611017880e-02       1.068456582763e+04 
       6.227051109122e-02       1.053910473598e+04 
       6.367912819421e-02       1.037814407817e+04 
       6.525415201483e-02       1.019711844160e+04 
       6.701791348373e-02       9.990261912372e+03 
       6.898976647499e-02       9.750697177829e+03 
       7.118157443643e-02       9.471399775481e+03 
       7.359288801808e-02       9.146761219631e+03 
       7.620816073024e-02       8.774951445217e+03 
       7.899834780935e-02       8.360065670613e+03 
       8.192689962915e-02       7.912799700385e+03 
       8.495719562287e-02       7.449048577516e+03 
       8.805797331999e-02       6.987088017541e+03 
       9.120544063851e-02       6.544540651376e+03 
       9.438288401733e-02       6.135985343580e+03 
       9.757917688758e-02       5.771604740502e+03 
       1.007871663165e-01       5.456778789994e+03 
       1.040023546077e-01       5.192353379490e+03 
       1.072219523755e-01       4.975314009320e+03 
       1.104442442678e-01       4.799634081962e+03 
       1.136681807876e-01       4.657197374088e+03 
       1.168931217441e-01       4.538689000104e+03 
       1.201186772604e-01       4.434470721965e+03 
       1.233446100706e-01       4.335429288406e+03 
       1.265707757845e-01       4.233748787100e+03 
       1.297970864779e-01       4.123584673091e+03 
       1.330234885403e-01       4.001421777921e+03 
       1.362499492117e-01       3.866261690901e+03 
       1.394764484049e-01       3.719407347906e+03 
       1.427029737401e-01       3.564024209707e+03 
       1.459295175298e-01       3.404494334201e+03 
       1.491560749476e-01       3.245748604098e+03 
       1.523826429160e-01       3.092607391183e+03 
       1.556092194306e-01       2.949252253241e+03 
       1.588358031483e-01       2.818860766993e+03 
       1.620623931374e-01       2.703404842506e+03 
       1.652889887244e-01       2.603600753891e+03 
       1.685155894004e-01       2.518990305329e+03 
       1.717421947638e-01       2.448114040933e+03 
       1.749688044847e-01       2.388745484080e+03 
       1.781954182829e-01       2.338142365295e+03 
       1.814220359135e-01       2.293331393944e+03 
       1.846486571585e-01       2.251692550504e+03 
       1.878752818209e-01       2.210573555822e+03 
       1.911019097205e-01       2.167398926105e+03 
       1.943285406911e-01       2.120588235278e+03 
       1.975551745790e-01       2.069340822662e+03 
       2.007818112411e-01       2.013636407902e+03 
       2.040084505441e-01       1.954176230541e+03 
       2.072350923630e-01       1.892177706379e+03 
       2.104617365812e-01       1.829181227708e+03 
       2.136883830888e-01       1.766792378875e+03 
       2.169150317829e-01       1.706480483464e+03 
       2.201416825665e-01       1.649486981955e+03 
       2.233683353484e-01       1.596719976968e+03 
       2.265949900427e-01       1.548756994381e+03 
       2.298216465681e-01       1.505829993781e+03 
       2.330483048482e-01       1.467847812756e+03 
       2.362749648104e-01       1.434419333328e+03 
       2.395016263865e-01       1.404896354042e+03 
       2.427282895116e-01       1.378433722851e+03 
       2.459549541242e-01       1.354085293074e+03 
       2.491816201664e-01       1.330899950460e+03 
       2.524082875829e-01       1.308010813719e+03 
       2.556349563213e-01       1.284725406892e+03 
       2.588616263319e-01       1.260554548986e+03 
       2.620882975674e-01       1.235234845473e+03 
       2.653149699829e-01       1.208721142703e+03 
       2.685416435355e-01       1.181149508903e+03 
       2.717683181846e-01       1.152815506133e+03 
       2.749949938913e-01       1.124122924586e+03 
       2.782216706186e-01       1.095552840311e+03 
       2.814483483312e-01       1.067599496996e+03 
       2.846750269955e-01       1.040726127666e+03 
       2.879017065791e-01       1.015303047148e+03 
       2.911283870515e-01       9.915810912522e+02 
       2.943550683831e-01       9.696614025990e+02 
       2.975817505460e-01       9.495204964933e+02 
       3.008084335132e-01       9.310190213066e+02 
       3.040351172589e-01       9.139417740392e+02 
       3.072618017586e-01       8.980289154136e+02 
       3.104884869886e-01       8.829952130112e+02 
       3.137151729262e-01       8.685566174757e+02 
       3.169418595497e-01       8.544443259969e+02 
       3.201685468383e-01       8.404229141288e+02 
       3.233952347720e-01       8.263045754394e+02 
       3.266219233315e-01       8.119690772377e+02 
       3.298486124984e-01       7.973670879092e+02 
       3.330753022550e-01       7.825273079397e+02 
       3.363019925843e-01       7.675376297283e+02 
       3.395286834697e-01       7.525247180930e+02 
       3.427553748955e-01       7.376346615486e+02 
       3.459820668466e-01       7.230091950811e+02 
       3.492087593083e-01       7.087779655945e+02 
       3.524354522665e-01       6.950469372855e+02 
       3.556621457077e-01       6.818973614990e+02 
       3.588888396187e-01       6.693828045024e+02 
       3.621155339870e-01       6.575234758071e+02 
       3.653422288004e-01       6.463037619047e+02 
       3.685689240471e-01       6.356756064411e+02 
       3.717956197158e-01       6.255598931473e+02 
       3.750223157955e-01       6.158555168621e+02 
       3.782490122758e-01       6.064606597029e+02 
       3.814757091464e-01       5.972784306245e+02 
       3.847024063974e-01       5.882329685046e+02 
       3.879291040193e-01       5.792689174193e+02 
       3.911558020029e-01       5.703502800547e+02 
       3.943825003392e-01       5.614614873912e+02 
       3.976091990198e-01       5.525957819541e+02 
       4.008358980361e-01       5.437657853670e+02 
       4.040625973801e-01       5.349883888488e+02 
       4.072892970441e-01       5.262973007132e+02 
       4.105159970204e-01       5.177352771057e+02 
       4.137426973017e-01       5.093405499521e+02 
       4.169693978808e-01       5.011573148056e+02 
       4.201960987510e-01       4.932085647035e+02 
       4.234227999055e-01       4.855134755718e+02 
       4.266495013379e-01       4.780703409238e+02 
       4.298762030418e-01       4.708792466947e+02 
       4.331029050112e-01       4.639218015920e+02 
       4.363296072402e-01       4.571884433735e+02 
       4.395563097230e-01       4.506581829867e+02 
       4.427830124540e-01       4.443162868535e+02 
       4.460097154279e-01       4.381348991853e+02 
       4.492364186395e-01       4.320870446190e+02 
       4.524631220835e-01       4.261463642212e+02 
       4.556898257550e-01       4.202904310570e+02 
       4.589165296493e-01       4.144979085496e+02 
       4.621432337616e-01       4.087642580978e+02 
       4.653699380874e-01       4.030884054386e+02 
       4.685966426223e-01       3.974740010359e+02 
       4.718233473619e-01       3.919290825435e+02 
       4.750500523022e-01       3.864624250699e+02 
       4.782767574389e-01       3.810774907958e+02 
       4.815034627682e-01       3.757848347937e+02 
       4.847301682861e-01       3.705952909856e+02 
       4.879568739890e-01       3.655171200886e+02 
       4.911835798731e-01       3.605608034484e+02 
       4.944102859350e-01       3.557326668441e+02 
       4.976369921711e-01       3.510314355980e+02 
       5.008636985780e-01       3.464550116076e+02 
       5.040904051526e-01       3.419887350931e+02 
       5.073171118915e-01       3.376255914505e+02 
       5.105438187916e-01       3.333491190897e+02 
       5.137705258499e-01       3.291542145783e+02 
       5.169972330635e-01       3.250297958784e+02 
       5.202239404294e-01       3.209733553617e+02 
       5.234506479447e-01       3.169776707527e+02 
       5.266773556068e-01       3.130394024122e+02 
       5.299040634130e-01       3.091503714293e+02 
       5.331307713606e-01       3.053103752654e+02 
       5.363574794471e-01       3.015180706857e+02 
