# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   69       2.482367112826e-10       4.243153081216e-14      -7.110052118417e-13       0.000000000000e+00       2.537855986703e-11       3.052548018356e-12      -1.026226180444e-14 
   70       2.515024382878e-10       4.417873851190e-14      -7.697989076454e-13       0.000000000000e+00       2.453007853288e-11       2.965836862782e-12      -1.016445410377e-14 
   71       2.547982690679e-10       4.595649730797e-14      -8.302843571526e-13       0.000000000000e+00       2.371784706976e-11       2.882691362850e-12      -1.004491717109e-14 
   72       2.581232523950e-10       4.776389830022e-14      -8.924628359167e-13       0.000000000000e+00       2.293740174746e-11       2.802747397992e-12      -9.895973196605e-15 
   73       2.614783167968e-10       4.959983550533e-14      -9.563032294235e-13       0.000000000000e+00       2.218812629511e-11       2.725954319489e-12      -9.720540430531e-15 
   74       2.648646346519e-10       5.146309624372e-14      -1.021762981487e-12       0.000000000000e+00       2.147006888062e-11       2.652306127731e-12      -9.524901857814e-15 
   75       2.682830180803e-10       5.335239296882e-14      -1.088795598983e-12       0.000000000000e+00       2.078277946085e-11       2.581742917806e-12      -9.316115819110e-15 
   76       2.717338962405e-10       5.526636209954e-14      -1.157350581180e-12       0.000000000000e+00       2.012528559475e-11       2.514148269944e-12      -9.102042331678e-15 
   77       2.752172926277e-10       5.720356285274e-14      -1.227373349075e-12       0.000000000000e+00       1.949606825649e-11       2.449346639963e-12      -8.891369410270e-15 
   78       2.787328023709e-10       5.916247607578e-14      -1.298805174727e-12       0.000000000000e+00       1.889303764855e-11       2.387100749718e-12      -8.693639388018e-15 
   79       2.822795695309e-10       6.114150307895e-14      -1.371583110592e-12       0.000000000000e+00       1.831350901488e-11       2.327108977542e-12      -8.519275237325e-15 
   80       2.858567418652e-10       6.313901709005e-14      -1.445645293202e-12       0.000000000000e+00       1.775486901115e-11       2.269080624092e-12      -8.377141907500e-15 
   81       2.894649760201e-10       6.515353047748e-14      -1.520948070420e-12       0.000000000000e+00       1.721676130073e-11       2.212982504049e-12      -8.266684699221e-15 
   82       2.931051535198e-10       6.718355457276e-14      -1.597451733531e-12       0.000000000000e+00       1.669923814602e-11       2.158830615733e-12      -8.184467249534e-15 
   83       2.967779128696e-10       6.922754943787e-14      -1.675115435496e-12       0.000000000000e+00       1.620209234098e-11       2.106614919959e-12      -8.126496221382e-15 
   84       3.004836356962e-10       7.128392367213e-14      -1.753897219810e-12       0.000000000000e+00       1.572484581234e-11       2.056298172615e-12      -8.088201976667e-15 
   85       3.042224328865e-10       7.335103421929e-14      -1.833754049364e-12       0.000000000000e+00       1.526673822084e-11       2.007814757247e-12      -8.064419249292e-15 
   86       3.079941307279e-10       7.542718617439e-14      -1.914641835297e-12       0.000000000000e+00       1.482671556242e-11       1.961069517641e-12      -8.049367818221e-15 
   87       3.117982570475e-10       7.751063259083e-14      -1.996515465863e-12       0.000000000000e+00       1.440341876944e-11       1.915936590407e-12      -8.036633180522e-15 
   88       3.156340273521e-10       7.959957428725e-14      -2.079328835282e-12       0.000000000000e+00       1.399517231192e-11       1.872258237561e-12      -8.019147224425e-15 
   89       3.195006516032e-10       8.169218468827e-14      -2.163033331161e-12       0.000000000000e+00       1.360038301067e-11       1.829883929473e-12      -7.990703190876e-15 
   90       3.233983399064e-10       8.378668923287e-14      -2.247572961911e-12       0.000000000000e+00       1.321883302026e-11       1.788797164580e-12      -7.950815039253e-15 
   91       3.273274297794e-10       8.588129812489e-14      -2.332888514588e-12       0.000000000000e+00       1.285056961538e-11       1.749006485247e-12      -7.900588295924e-15 
   92       3.312880706300e-10       8.797418258768e-14      -2.418919033985e-12       0.000000000000e+00       1.249550785484e-11       1.710506441843e-12      -7.841257231897e-15 
   93       3.352802146993e-10       9.006347504618e-14      -2.505601828397e-12       0.000000000000e+00       1.215342532823e-11       1.673277028324e-12      -7.774188521471e-15 
   94       3.393036080048e-10       9.214726930884e-14      -2.592872475386e-12       0.000000000000e+00       1.182395690270e-11       1.637283117818e-12      -7.700884900877e-15 
   95       3.433577812836e-10       9.422362074971e-14      -2.680664827547e-12       0.000000000000e+00       1.150658946964e-11       1.602473898210e-12      -7.622988826929e-15 
   96       3.474420409355e-10       9.629054649038e-14      -2.768911018275e-12       0.000000000000e+00       1.120065669140e-11       1.568782307727e-12      -7.542286135669e-15 
   97       3.515554599660e-10       9.834602558204e-14      -2.857541467529e-12       0.000000000000e+00       1.090533374801e-11       1.536124470519e-12      -7.460709701018e-15 
   98       3.556968689300e-10       1.003879991875e-13      -2.946484887601e-12       0.000000000000e+00       1.061963208387e-11       1.504399132249e-12      -7.380343093418e-15 
   99       3.598651469598e-10       1.024144175794e-13      -3.035669736541e-12       0.000000000000e+00       1.034262587726e-11       1.473512017602e-12      -7.303003542883e-15 
  100       3.640601614631e-10       1.044233883380e-13      -3.125028800870e-12       0.000000000000e+00       1.007417940546e-11       1.443454059455e-12      -7.228915519648e-15 
  101       3.682819453197e-10       1.064130495802e-13      -3.214495275699e-12       0.000000000000e+00       9.814313424871e-12       1.414233253228e-12      -7.157855200289e-15 
  102       3.725304033193e-10       1.083815257557e-13      -3.304001397998e-12       0.000000000000e+00       9.562980225838e-12       1.385850464466e-12      -7.089552979795e-15 
  103       3.768053067421e-10       1.103269283967e-13      -3.393478469908e-12       0.000000000000e+00       9.320061188116e-12       1.358299166511e-12      -7.023692030872e-15 
  104       3.811062879396e-10       1.122473568673e-13      -3.482856882055e-12       0.000000000000e+00       9.085364336353e-12       1.331565178168e-12      -6.959906863251e-15 
  105       3.854328349148e-10       1.141408991130e-13      -3.572066136865e-12       0.000000000000e+00       8.858621895555e-12       1.305626401373e-12      -6.897781882996e-15 
  106       3.897842859029e-10       1.160056324101e-13      -3.661034871875e-12       0.000000000000e+00       8.639487846570e-12       1.280452558862e-12      -6.836849951807e-15 
  107       3.941598239520e-10       1.178396241152e-13      -3.749690883047e-12       0.000000000000e+00       8.427535481556e-12       1.256004931841e-12      -6.776590946328e-15 
  108       3.985584715033e-10       1.196409324149e-13      -3.837961148083e-12       0.000000000000e+00       8.222254959459e-12       1.232236097653e-12      -6.716430317455e-15 
  109       4.029790849720e-10       1.214076070750e-13      -3.925771849738e-12       0.000000000000e+00       8.023050861488e-12       1.209089667446e-12      -6.655737649642e-15 
  110       4.074205474901e-10       1.231377385710e-13      -4.013048878710e-12       0.000000000000e+00       7.829376378862e-12       1.186513468391e-12      -6.593955778132e-15 
