# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 5.37537 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.375252926146e-02       1.784854129493e+04 
       3.390751435448e-02       1.777472399321e+04 
       3.406312793663e-02       1.770097348288e+04 
       3.421938762185e-02       1.762716286363e+04 
       3.437631164092e-02       1.755340156236e+04 
       3.453391886915e-02       1.747961836393e+04 
       3.469222885554e-02       1.740591617492e+04 
       3.485126185368e-02       1.733223855474e+04 
       3.501103885438e-02       1.725852108191e+04 
       3.517158162023e-02       1.718483539443e+04 
       3.533291272220e-02       1.711121969940e+04 
       3.549505557839e-02       1.703762647145e+04 
       3.565803449514e-02       1.696407746830e+04 
       3.582187471065e-02       1.689054528247e+04 
       3.598660244129e-02       1.681701492747e+04 
       3.615224493080e-02       1.674359195306e+04 
       3.631883050259e-02       1.667017379712e+04 
       3.648638861547e-02       1.659679556439e+04 
       3.665494992286e-02       1.652347319005e+04 
       3.682454633603e-02       1.645016242128e+04 
       3.699521109143e-02       1.637689752982e+04 
       3.716697882268e-02       1.630366616610e+04 
       3.733988563733e-02       1.623050851756e+04 
       3.751396919910e-02       1.615736969044e+04 
       3.768926881575e-02       1.608428699633e+04 
       3.786582553330e-02       1.601121631037e+04 
       3.804368223693e-02       1.593817430550e+04 
       3.822288375942e-02       1.586521164182e+04 
       3.840347699747e-02       1.579221667657e+04 
       3.858551103685e-02       1.571929870032e+04 
       3.876903728713e-02       1.564635305330e+04 
       3.895410962675e-02       1.557350505540e+04 
       3.914078455959e-02       1.550067994575e+04 
       3.932912138399e-02       1.542787241909e+04 
       3.951918237547e-02       1.535506855696e+04 
       3.971103298448e-02       1.528230121636e+04 
       3.990474205072e-02       1.520953352907e+04 
       4.010038203561e-02       1.513677980489e+04 
       4.029802927493e-02       1.506402019696e+04 
       4.049776425350e-02       1.499122798890e+04 
       4.069967190448e-02       1.491847312225e+04 
       4.090384193581e-02       1.484567370932e+04 
       4.111036918682e-02       1.477288721550e+04 
       4.131935401826e-02       1.470000037772e+04 
       4.153090273976e-02       1.462715168462e+04 
       4.174512807889e-02       1.455420218633e+04 
       4.196214969668e-02       1.448129520150e+04 
       4.218209475537e-02       1.440829224423e+04 
       4.240509854449e-02       1.433521011875e+04 
       4.263130517285e-02       1.426208016357e+04 
       4.286086833448e-02       1.418883245019e+04 
       4.309395215835e-02       1.411553021409e+04 
       4.333073215270e-02       1.404207193266e+04 
       4.357139625698e-02       1.396853254906e+04 
       4.381614601588e-02       1.389481658295e+04 
       4.406519789289e-02       1.382094252476e+04 
       4.431878474316e-02       1.374692775287e+04 
       4.457715746909e-02       1.367274226069e+04 
       4.484058688603e-02       1.359834937517e+04 
       4.510936583018e-02       1.352373781603e+04 
       4.538381154675e-02       1.344885035120e+04 
       4.566426840308e-02       1.337373584050e+04 
       4.595111098032e-02       1.329833929752e+04 
       4.624474760699e-02       1.322259921464e+04 
       4.654562441072e-02       1.314652401215e+04 
       4.685422997938e-02       1.307006558201e+04 
       4.717110074200e-02       1.299322152040e+04 
       4.749682720275e-02       1.291590390695e+04 
       4.783206119047e-02       1.283810908184e+04 
       4.817752432184e-02       1.275978056748e+04 
       4.853401792131e-02       1.268090039242e+04 
       4.890243469721e-02       1.260131303211e+04 
       4.928377254460e-02       1.252104368648e+04 
       4.967915093510e-02       1.244002798384e+04 
       5.008983046795e-02       1.235812947399e+04 
       5.051723630197e-02       1.227531054711e+04 
       5.096298637218e-02       1.219144030407e+04 
       5.142892553139e-02       1.210640041805e+04 
       5.191716705615e-02       1.202007119750e+04 
       5.243014333670e-02       1.193226868248e+04 
       5.297066804707e-02       1.184288352354e+04 
       5.354201267900e-02       1.175158429670e+04 
       5.414800102670e-02       1.165812733076e+04 
       5.479312600466e-02       1.156223416645e+04 
       5.548269398120e-02       1.146344072719e+04 
       5.622300239514e-02       1.136123525074e+04 
       5.702155629802e-02       1.125495201540e+04 
       5.788732760388e-02       1.114377499176e+04 
       5.883105521756e-02       1.102658481821e+04 
       5.986557109595e-02       1.090188748410e+04 
       6.100611017880e-02       1.076774710545e+04 
       6.227051109122e-02       1.062153152343e+04 
       6.367912819421e-02       1.045971012282e+04 
       6.525415201483e-02       1.027767807029e+04 
       6.701791348373e-02       1.006962049883e+04 
       6.898976647499e-02       9.828599673518e+03 
       7.118157443643e-02       9.547522831062e+03 
       7.359288801808e-02       9.220724302541e+03 
       7.620816073024e-02       8.846341902912e+03 
       7.899834780935e-02       8.428488987629e+03 
       8.192689962915e-02       7.977937358492e+03 
       8.495719562287e-02       7.510705278774e+03 
       8.805797331999e-02       7.045218743313e+03 
       9.120544063851e-02       6.599250875166e+03 
       9.438288401733e-02       6.187508692868e+03 
       9.757917688758e-02       5.820268151723e+03 
       1.007871663165e-01       5.502963202761e+03 
       1.040023546077e-01       5.236455135088e+03 
       1.072219523755e-01       5.017710853494e+03 
       1.104442442678e-01       4.840658219568e+03 
       1.136681807876e-01       4.697116489309e+03 
       1.168931217441e-01       4.577694720639e+03 
       1.201186772604e-01       4.472674380930e+03 
       1.233446100706e-01       4.372865263939e+03 
       1.265707757845e-01       4.270385036866e+03 
       1.297970864779e-01       4.159339252282e+03 
       1.330234885403e-01       4.036182473067e+03 
       1.362499492117e-01       3.899907606738e+03 
       1.394764484049e-01       3.751829020202e+03 
       1.427029737401e-01       3.595140011880e+03 
       1.459295175298e-01       3.434261236941e+03 
       1.491560749476e-01       3.274167027125e+03 
       1.523826429160e-01       3.119720534068e+03 
       1.556092194306e-01       2.975140707809e+03 
       1.588358031483e-01       2.843633785140e+03 
       1.620623931374e-01       2.727189700566e+03 
       1.652889887244e-01       2.626531720205e+03 
       1.685155894004e-01       2.541198315928e+03 
       1.717421947638e-01       2.469717783481e+03 
       1.749688044847e-01       2.409844446164e+03 
       1.781954182829e-01       2.358812176391e+03 
       1.814220359135e-01       2.313621701450e+03 
       1.846486571585e-01       2.271630066007e+03 
       1.878752818209e-01       2.230161625880e+03 
       1.911019097205e-01       2.186618111841e+03 
       1.943285406911e-01       2.139405124154e+03 
       1.975551745790e-01       2.087714927620e+03 
       2.007818112411e-01       2.031527049625e+03 
       2.040084505441e-01       1.971548930712e+03 
       2.072350923630e-01       1.909008825739e+03 
       2.104617365812e-01       1.845460883681e+03 
       2.136883830888e-01       1.782525036683e+03 
       2.169150317829e-01       1.721683732637e+03 
       2.201416825665e-01       1.664189557305e+03 
       2.233683353484e-01       1.610958812636e+03 
       2.265949900427e-01       1.562574281350e+03 
       2.298216465681e-01       1.519270070887e+03 
       2.330483048482e-01       1.480954279310e+03 
       2.362749648104e-01       1.447232388142e+03 
       2.395016263865e-01       1.417450492895e+03 
       2.427282895116e-01       1.390755930670e+03 
       2.459549541242e-01       1.366194130403e+03 
       2.491816201664e-01       1.342805517412e+03 
       2.524082875829e-01       1.319715484738e+03 
       2.556349563213e-01       1.296225375099e+03 
       2.588616263319e-01       1.271841621382e+03 
       2.620882975674e-01       1.246298478410e+03 
       2.653149699829e-01       1.219550402632e+03 
       2.685416435355e-01       1.191734686777e+03 
       2.717683181846e-01       1.163149527530e+03 
       2.749949938913e-01       1.134202346326e+03 
       2.782216706186e-01       1.105378547639e+03 
       2.814483483312e-01       1.077176828664e+03 
       2.846750269955e-01       1.050064574739e+03 
       2.879017065791e-01       1.024415441107e+03 
       2.911283870515e-01       1.000482539128e+03 
       2.943550683831e-01       9.783679415559e+02 
       2.975817505460e-01       9.580479579459e+02 
       3.008084335132e-01       9.393820012787e+02 
       3.040351172589e-01       9.221529524338e+02 
       3.072618017586e-01       9.060986551445e+02 
       3.104884869886e-01       8.909313179996e+02 
       3.137151729262e-01       8.763643415974e+02 
       3.169418595497e-01       8.621265174384e+02 
       3.201685468383e-01       8.479803116632e+02 
       3.233952347720e-01       8.337362339577e+02 
       3.266219233315e-01       8.192729633590e+02 
       3.298486124984e-01       8.045407297233e+02 
       3.330753022550e-01       7.895684982775e+02 
       3.363019925843e-01       7.744449541868e+02 
       3.395286834697e-01       7.592978998890e+02 
       3.427553748955e-01       7.442747385645e+02 
       3.459820668466e-01       7.295184918123e+02 
       3.492087593083e-01       7.151599777195e+02 
       3.524354522665e-01       7.013061117388e+02 
       3.556621457077e-01       6.880388791549e+02 
       3.588888396187e-01       6.754123380114e+02 
       3.621155339870e-01       6.634468890511e+02 
       3.653422288004e-01       6.521267731260e+02 
       3.685689240471e-01       6.414035016004e+02 
       3.717956197158e-01       6.311972529290e+02 
       3.750223157955e-01       6.214060186731e+02 
       3.782490122758e-01       6.119270620155e+02 
       3.814757091464e-01       6.026626120011e+02 
       3.847024063974e-01       5.935361329734e+02 
       3.879291040193e-01       5.844917744754e+02 
       3.911558020029e-01       5.754932131207e+02 
       3.943825003392e-01       5.665247351401e+02 
       3.976091990198e-01       5.575795254671e+02 
       4.008358980361e-01       5.486703263562e+02 
       4.040625973801e-01       5.398141788702e+02 
       4.072892970441e-01       5.310450940151e+02 
       4.105159970204e-01       5.224062117627e+02 
       4.137426973017e-01       5.139361175337e+02 
       4.169693978808e-01       5.056794077260e+02 
       4.201960987510e-01       4.976592750762e+02 
       4.234227999055e-01       4.898950718706e+02 
       4.266495013379e-01       4.823850820866e+02 
       4.298762030418e-01       4.751293938771e+02 
       4.331029050112e-01       4.681094472703e+02 
       4.363296072402e-01       4.613155918200e+02 
       4.395563097230e-01       4.547266537786e+02 
       4.427830124540e-01       4.483277705535e+02 
       4.460097154279e-01       4.420908317081e+02 
       4.492364186395e-01       4.359886163693e+02 
       4.524631220835e-01       4.299945302568e+02 
       4.556898257550e-01       4.240859491382e+02 
       4.589165296493e-01       4.182413412085e+02 
       4.621432337616e-01       4.124561222041e+02 
       4.653699380874e-01       4.067292122713e+02 
       4.685966426223e-01       4.010642991742e+02 
       4.718233473619e-01       3.954694907202e+02 
       4.750500523022e-01       3.899536380624e+02 
       4.782767574389e-01       3.845202370589e+02 
       4.815034627682e-01       3.791799417607e+02 
       4.847301682861e-01       3.739436837923e+02 
       4.879568739890e-01       3.688197949655e+02 
       4.911835798731e-01       3.638188519907e+02 
       4.944102859350e-01       3.589472414025e+02 
       4.976369921711e-01       3.542036781546e+02 
       5.008636985780e-01       3.495860420415e+02 
       5.040904051526e-01       3.450795405132e+02 
       5.073171118915e-01       3.406770987178e+02 
       5.105438187916e-01       3.363621075512e+02 
       5.137705258499e-01       3.321294154057e+02 
       5.169972330635e-01       3.279678380380e+02 
       5.202239404294e-01       3.238748483924e+02 
       5.234506479447e-01       3.198431620106e+02 
       5.266773556068e-01       3.158694050608e+02 
       5.299040634130e-01       3.119453238836e+02 
       5.331307713606e-01       3.080707157218e+02 
       5.363574794471e-01       3.042442282200e+02 
       5.395841876699e-01       3.004721876478e+02 
       5.428108960266e-01       2.967566592201e+02 
       5.460376045150e-01       2.931047088686e+02 
       5.492643131325e-01       2.895182113648e+02 
       5.524910218770e-01       2.859995987831e+02 
       5.557177307462e-01       2.825456269323e+02 
       5.589444397380e-01       2.791562807848e+02 
       5.621711488502e-01       2.758292886860e+02 
       5.653978580809e-01       2.725631929372e+02 
       5.686245674278e-01       2.693596060480e+02 
       5.959647054051e-01       2.443331771177e+02 
       6.268697705427e-01       2.196184530527e+02 
       6.626118374755e-01       1.952867449196e+02 
       7.052623575234e-01       1.708489248129e+02 
       7.584502103838e-01       1.459767564621e+02 
       8.291025045408e-01       1.200634821787e+02 
       9.315437494177e-01       9.255146595856e+01 
       1.094616907416e+00       6.395370417957e+01 
       1.351892732807e+00       3.873817931459e+01 
       1.699868457971e+00       2.190099113595e+01 
       2.139973477514e+00       1.211910164618e+01 
       2.694066883371e+00       6.585681800835e+00 
       3.391629260502e+00       3.565779390707e+00 
       4.269808263431e+00       1.952192738646e+00 
       5.375370126322e+00       1.093455929540e+00 
